BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
SPS-District K-12,,2.668616131856803,K-12 School,1.0,3.0,140.0,K-12 School,,8.73008074977461,,,7.081437301849144,1991.0,98103.0
NonResidential,97.5,4.985727658390071,Hotel,1.0,5.0,144.0,Hotel,,9.783725079164903,Parking,7.478675962276143,8.866568890077716,1904.0,98104.0
Nonresidential COS,,5.949795840061158,Other - Entertainment/Public Assembly,1.0,6.0,145.0,Other,,10.180882657502988,,,9.638757672676075,1998.0,98111.0
NonResidential,21.0,7.566549081670385,Hospital (General Medical & Surgical),4.0,5.0,147.0,Hospital,,10.185213287891496,Parking,9.53459622361727,11.009505640807912,1954.0,98107.0
SPS-District K-12,92.0,2.388303968396583,K-12 School,1.0,2.0,148.0,K-12 School,,8.548173596200913,,,7.5010742949011835,1991.0,98107.0
Nonresidential COS,,5.292525626756227,Other,1.0,4.0,163.0,Other,,8.644984345341213,Office,7.906375551244935,9.29279608067507,2006.0,98104.0
NonResidential,,3.798294240099803,Museum,1.0,4.0,167.0,Other,7.157673186982369,8.819547011390133,,,7.727105659742743,1910.0,98104.0
NonResidential,75.5,5.385480815307502,Hotel,1.0,4.0,168.0,Hotel,7.18479833325006,9.620522136145055,Parking,8.018686768296728,9.02628983522103,1996.0,98109.0
SPS-District K-12,91.0,5.172669105943489,K-12 School,1.0,4.0,169.0,K-12 School,,10.200015591831804,,,9.26253332321522,1990.0,98144.0
NonResidential,,4.209754413732928,College/University,1.0,3.0,170.0,University,,8.679915519171184,,,8.132309044604625,1915.0,98122.0
Campus,,6.748771270752387,College/University,27.0,2.0,172.0,University,,10.620762228863374,,,10.686575871467154,1970.0,98106.0
NonResidential,,5.407508037786215,Office,1.0,2.0,173.0,Small- and Mid-Sized Office,,9.099024687446926,Data Center,6.129731088798235,9.748262171018329,2002.0,98115.0
Nonresidential COS,,5.336118803774787,"Repair Services (Vehicle, Shoe, Locksmith, etc)",1.0,1.0,174.0,Other,,8.741548354390908,,,9.027004277800575,1950.0,98134.0
SPS-District K-12,61.0,5.893989525724146,K-12 School,1.0,3.0,175.0,K-12 School,,10.070947573830948,,,9.698241757507526,2008.0,98122.0
SPS-District K-12,92.0,4.009784723210642,K-12 School,1.0,3.0,176.0,K-12 School,,8.898520125639681,,,7.96223674100113,2001.0,98118.0
SPS-District K-12,81.0,3.7016722759126885,K-12 School,1.0,3.0,177.0,K-12 School,,8.736159431784964,,,7.884647762031902,2002.0,98122.0
SPS-District K-12,89.0,4.484075422610033,K-12 School,1.0,3.0,178.0,K-12 School,,9.120160085322363,,,8.294833913869567,2000.0,98118.0
NonResidential,,4.101154654150649,Office,1.0,1.0,179.0,Small- and Mid-Sized Office,,8.534607672418556,Other,7.750432193511046,8.4880372291086,1958.0,98118.0
NonResidential,,4.65195834748685,College/University,1.0,2.0,182.0,University,,8.494481591998111,,,8.500396797540654,1980.0,98119.0
SPS-District K-12,96.0,5.360705138982852,K-12 School,1.0,2.0,185.0,K-12 School,,9.998594891056824,Parking,,9.213578226448359,2011.0,98125.0
NonResidential,,6.017315025698092,Other,3.0,6.0,187.0,Other,,10.056933607698296,Courthouse,8.892831676147098,9.60863582293944,1971.0,98122.0
SPS-District K-12,96.5,3.9430370589573154,K-12 School,1.0,3.0,189.0,K-12 School,,8.667138838881192,,,7.755816295311752,2002.0,98117.0
NonResidential,20.0,3.940124435539021,Office,1.0,3.0,190.0,Small- and Mid-Sized Office,,8.690673799540988,Non-Refrigerated Warehouse,7.239606569745056,8.21100494372018,2007.0,98108.0
NonResidential,98.0,6.612732999671269,Retail Store,1.0,1.0,194.0,Retail Store,,10.804506957387437,Restaurant,7.747868911107881,10.349669461733672,1951.0,98125.0
NonResidential,,5.4817632910037,Other/Specialty Hospital,1.0,3.0,195.0,Other,,8.524679983507541,,,9.038402161249389,1964.0,98125.0
NonResidential,75.5,4.185403293169068,Retail Store,1.0,4.0,197.0,Retail Store,,9.354592202283097,,,9.111947519606096,1965.0,98125.0
NonResidential,73.0,4.407877113263991,Financial Office,1.0,3.0,200.0,Other,,8.54689379790988,Parking,7.26494937741685,8.146568498734021,1996.0,98133.0
SPS-District K-12,81.0,4.799090878625398,K-12 School,1.0,2.0,205.0,K-12 School,,10.023773834535424,,,9.234713194303488,1999.0,98117.0
NonResidential,,3.822754537669964,Self-Storage Facility,1.0,5.0,209.0,Self-Storage Facility,,8.972677042624431,,,7.3962099033646025,1910.0,98122.0
Campus,,5.995369413185194,College/University,11.0,2.0,211.0,University,9.246701407839508,11.074132070166058,,,10.61102636118348,1970.0,98103.0
SPS-District K-12,75.5,5.569679490132721,K-12 School,1.0,2.0,212.0,K-12 School,,9.685916755939912,,,9.032209808877152,1952.0,98118.0
SPS-District K-12,76.0,5.255174973651195,K-12 School,1.0,1.0,214.0,K-12 School,,9.510639074225995,,,8.794204503592598,1963.0,98106.0
NonResidential,64.0,4.113983777474449,Non-Refrigerated Warehouse,1.0,4.0,215.0,Warehouse,,9.270356692379998,,,7.767022318700735,1904.0,98108.0
SPS-District K-12,87.5,5.741543790073131,K-12 School,1.0,2.0,216.0,K-12 School,,9.74717124342564,,,9.282081859650233,1960.0,98118.0
SPS-District K-12,,5.396804313262691,K-12 School,1.0,1.0,217.0,K-12 School,,9.60841626164833,,,8.264497435130071,1959.0,98117.0
NonResidential,84.5,5.7329852264642955,Non-Refrigerated Warehouse,1.0,1.0,220.0,Warehouse,,9.987492679344465,,,9.120339051261292,1937.0,98134.0
NonResidential,74.0,3.534124425037787,Retail Store,1.0,1.0,223.0,Retail Store,,8.705697454391498,,,8.026448148361183,1966.0,98126.0
NonResidential,34.0,5.910484942350071,Retail Store,1.0,1.0,224.0,Retail Store,,8.74730702494124,,,9.259191412034545,1965.0,98126.0
SPS-District K-12,95.0,5.6061145174780425,K-12 School,1.0,2.0,225.0,K-12 School,,10.439324039729028,,,9.587309085008664,2010.0,98126.0
SPS-District K-12,86.0,4.217078285937272,K-12 School,1.0,1.0,226.0,K-12 School,,8.377375466947687,,,7.844847588695978,1958.0,98126.0
SPS-District K-12,,5.163070217140011,K-12 School,1.0,3.0,227.0,K-12 School,,9.445592652749848,,,8.2040277416203,1963.0,98144.0
NonResidential,,4.033798062354067,Other,1.0,3.0,228.0,Other,,8.556908059377994,,,7.707688698735491,1973.0,98117.0
SPS-District K-12,92.0,3.797285327957723,K-12 School,1.0,2.0,229.0,K-12 School,,8.74177102690736,,,7.786666910463249,2004.0,98118.0
NonResidential,,3.7901942970630125,Self-Storage Facility,1.0,2.0,230.0,Self-Storage Facility,,8.484490964577406,,,7.373897199512626,1969.0,98126.0
SPS-District K-12,78.0,4.2271256734559195,K-12 School,1.0,3.0,231.0,K-12 School,,9.381835099523656,,,8.506478255432663,2010.0,98103.0
