OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
27205,SPS-District K-12,K-12 School,Viewlands Elementary,98177.0,7474900060,5,NORTHWEST,1954,1.0,1,3913.81926912,0.0,K-12 School,,90.0,1069.2211988662684,2019062.4532287498,0.0,257289.89844999998,869670.1321,49.894999999999996
27231,SPS-District K-12,K-12 School,Loyal Heights Elementary,98117.0,4443801580,6,BALLARD,1932,1.0,2,4157.689749120001,0.0,K-12 School,,90.0,979.5042593981154,2691114.17638125,0.0,171981.35155000002,1551953.16772,82.215
27244,NonResidential,Other,Knights of Columbus,98122.0,7502500045,3,EAST,1912,1.0,3,3131.57567232,0.0,Other,,,696.7256550584652,838453.4784087499,160892.644095439,169014.14844999998,43132.96292,17.965
27303,NonResidential,Other,EMERSON,98155.0,6632300641,5,North,1948,1.0,2,4388.46090048,0.0,Other,,,4501.177044367976,6347645.839275,0.0,1761139.875,0.0,41.89
27365,SPS-District K-12,K-12 School,Adams Elementary,98107.0,6658000060,6,BALLARD,1989,1.0,2,5323.15838592,0.0,K-12 School,,86.5,1147.0136864308583,2066175.8278225,0.0,508850.45314999996,0.0,12.105
27378,NonResidential,Supermarket / Grocery Store,Safeway 1550 - Roosevelt Way,98115.0,6716700415,4,NORTHEAST,1997,1.0,1,7114.979318400001,3584.6637984000004,Supermarket/Grocery Store,Parking,17.0,8888.220408377034,15329032.153719999,0.0,2435938.25,5962592.4605,358.085
27381,NonResidential,Worship Facility,Cross & Crown Church,98105.0,6746700035,4,NORTHEAST,1938,1.0,3,2450.13187392,0.0,Worship Facility,,84.5,609.2800428584371,891612.2808612499,0.0,73928.80077999999,515725.46119,27.72
27389,NonResidential,Small- and Mid-Sized Office,Leschi Lakecenter,98122.0,4114601145,3,CENTRAL,1956,6.0,2,7048.367838720001,0.0,Office,Restaurant,,1602.4121962495196,3597500.1986574996,0.0,979070.375,0.0,23.29
27406,NonResidential,Mixed Use Property,The GreenLind Building,98112.0,4232401365,3,EAST,1947,1.0,2,2011.9082342400002,0.0,Other - Entertainment/Public Assembly,Other - Public Services,,1810.8053322898043,1924414.8010425,0.0,215570.10155000002,1043021.2378700001,57.629999999999995
27455,Nonresidential COS,Distribution Center,The Seattle Public Library - Queen Anne Storage Facility,98119.0,4232903170,7,MAGNOLIA / QUEEN ANNE,1921,1.0,3,2140.4860416,0.0,Distribution Center,,,875.0238292215292,596350.195545439,0.0,138552.5,0.0,3.295
